0.00000000, -0.09412818, -0.09412818, -0.09286686, -0.09537282
1.00000000, -0.09286686, -0.09537282, -0.09158908, -0.09660056
2.00000000, -0.09158908, -0.09660056, -0.09029507, -0.09781119
3.00000000, -0.09029507, -0.09781119, -0.08898507, -0.09900448
4.00000000, -0.08898507, -0.09900448, -0.08765929, -0.10018023
5.00000000, -0.08765929, -0.10018023, -0.08631798, -0.10133822
6.00000000, -0.08631798, -0.10133822, -0.08496137, -0.10247826
7.00000000, -0.08496137, -0.10247826, -0.08358971, -0.10360014
8.00000000, -0.08358971, -0.10360014, -0.08220324, -0.10470366
9.00000000, -0.08220324, -0.10470366, -0.08080220, -0.10578863
10.00000000, -0.08080220, -0.10578863, -0.07938684, -0.10685485
11.00000000, -0.07938684, -0.10685485, -0.07795742, -0.10790213
12.00000000, -0.07795742, -0.10790213, -0.07651418, -0.10893030
13.00000000, -0.07651418, -0.10893030, -0.07505738, -0.10993916
14.00000000, -0.07505738, -0.10993916, -0.07358728, -0.11092854
15.00000000, -0.07358728, -0.11092854, -0.07210414, -0.11189826
16.00000000, -0.07210414, -0.11189826, -0.07060823, -0.11284816
17.00000000, -0.07060823, -0.11284816, -0.06909980, -0.11377806
18.00000000, -0.06909980, -0.11377806, -0.06757913, -0.11468780
19.00000000, -0.06757913, -0.11468780, -0.06604648, -0.11557721
20.00000000, -0.06604648, -0.11557721, -0.06450213, -0.11644614
21.00000000, -0.06450213, -0.11644614, -0.06294635, -0.11729444
22.00000000, -0.06294635, -0.11729444, -0.06137941, -0.11812196
23.00000000, -0.06137941, -0.11812196, -0.05980160, -0.11892854
24.00000000, -0.05980160, -0.11892854, -0.05821319, -0.11971405
25.00000000, -0.05821319, -0.11971405, -0.05661447, -0.12047834
26.00000000, -0.05661447, -0.12047834, -0.05500571, -0.12122129
27.00000000, -0.05500571, -0.12122129, -0.05338721, -0.12194275
28.00000000, -0.05338721, -0.12194275, -0.05175924, -0.12264261
29.00000000, -0.05175924, -0.12264261, -0.05012211, -0.12332073
30.00000000, -0.05012211, -0.12332073, -0.04847609, -0.12397700
31.00000000, -0.04847609, -0.12397700, -0.04682148, -0.12461131
32.00000000, -0.04682148, -0.12461131, -0.04515858, -0.12522353
33.00000000, -0.04515858, -0.12522353, -0.04348767, -0.12581356
34.00000000, -0.04348767, -0.12581356, -0.04180906, -0.12638129
35.00000000, -0.04180906, -0.12638129, -0.04012304, -0.12692663
36.00000000, -0.04012304, -0.12692663, -0.03842991, -0.12744948
37.00000000, -0.03842991, -0.12744948, -0.03672997, -0.12794975
38.00000000, -0.03672997, -0.12794975, -0.03502352, -0.12842734
39.00000000, -0.03502352, -0.12842734, -0.03331086, -0.12888218
40.00000000, -0.03331086, -0.12888218, -0.03159230, -0.12931417
41.00000000, -0.03159230, -0.12931417, -0.02986814, -0.12972325
42.00000000, -0.02986814, -0.12972325, -0.02813869, -0.13010935
43.00000000, -0.02813869, -0.13010935, -0.02640426, -0.13047239
44.00000000, -0.02640426, -0.13047239, -0.02466514, -0.13081231
45.00000000, -0.02466514, -0.13081231, -0.02292166, -0.13112904
46.00000000, -0.02292166, -0.13112904, -0.02117411, -0.13142255
47.00000000, -0.02117411, -0.13142255, -0.01942281, -0.13169276
48.00000000, -0.01942281, -0.13169276, -0.01766807, -0.13193964
49.00000000, -0.01766807, -0.13193964, -0.01591020, -0.13216314
50.00000000, -0.01591020, -0.13216314, -0.01414951, -0.13236321
51.00000000, -0.01414951, -0.13236321, -0.01238631, -0.13253984
52.00000000, -0.01238631, -0.13253984, -0.01062091, -0.13269297
53.00000000, -0.01062091, -0.13269297, -0.00885364, -0.13282260
54.00000000, -0.00885364, -0.13282260, -0.00708479, -0.13292868
55.00000000, -0.00708479, -0.13292868, -0.00531469, -0.13301121
56.00000000, -0.00531469, -0.13301121, -0.00354365, -0.13307017
57.00000000, -0.00354365, -0.13307017, -0.00177198, -0.13310556
58.00000000, -0.00177198, -0.13310556, -0.00000000, -0.13311735
59.00000000, -0.00000000, -0.13311735, 0.00177198, -0.13310556
60.00000000, 0.00177198, -0.13310556, 0.00354365, -0.13307017
61.00000000, 0.00354365, -0.13307017, 0.00531469, -0.13301121
62.00000000, 0.00531469, -0.13301121, 0.00708479, -0.13292868
63.00000000, 0.00708479, -0.13292868, 0.00885364, -0.13282260
64.00000000, 0.00885364, -0.13282260, 0.01062091, -0.13269297
65.00000000, 0.01062091, -0.13269297, 0.01238631, -0.13253984
66.00000000, 0.01238631, -0.13253984, 0.01414951, -0.13236321
67.00000000, 0.01414951, -0.13236321, 0.01591020, -0.13216314
68.00000000, 0.01591020, -0.13216314, 0.01766807, -0.13193964
69.00000000, 0.01766807, -0.13193964, 0.01942281, -0.13169276
70.00000000, 0.01942281, -0.13169276, 0.02117411, -0.13142255
71.00000000, 0.02117411, -0.13142255, 0.02292166, -0.13112904
72.00000000, 0.02292166, -0.13112904, 0.02466514, -0.13081231
73.00000000, 0.02466514, -0.13081231, 0.02640426, -0.13047239
74.00000000, 0.02640426, -0.13047239, 0.02813869, -0.13010935
75.00000000, 0.02813869, -0.13010935, 0.02986814, -0.12972325
76.00000000, 0.02986814, -0.12972325, 0.03159230, -0.12931417
77.00000000, 0.03159230, -0.12931417, 0.03331086, -0.12888218
78.00000000, 0.03331086, -0.12888218, 0.03502352, -0.12842734
79.00000000, 0.03502352, -0.12842734, 0.03672997, -0.12794975
80.00000000, 0.03672997, -0.12794975, 0.03842991, -0.12744948
81.00000000, 0.03842991, -0.12744948, 0.04012304, -0.12692663
