9, 37, 10
194, 12, 193
46, 27, 8
192, 191, 189
13, 57, 53
10, 29, 163
163, 11, 10
55, 10, 39
12, 11, 163
7, 63, 6
46, 47, 32
8, 7, 46
55, 77, 9
162, 158, 159
81, 80, 42
9, 10, 55
3, 2, 169
96, 47, 107
6, 63, 64
134, 35, 48
11, 53, 39
86, 26, 0
40, 57, 58
65, 13, 194
65, 14, 13
17, 59, 61
83, 89, 103
104, 136, 138
89, 69, 90
58, 61, 79
72, 126, 120
17, 18, 59
3, 62, 2
6, 64, 5
1, 20, 70
169, 1, 36
78, 42, 71
16, 167, 17
20, 19, 68
69, 19, 18
144, 150, 116
10, 11, 39
41, 59, 60
107, 101, 111
27, 46, 32
57, 13, 14
157, 26, 38
29, 37, 158
20, 78, 60
2, 62, 94
29, 10, 37
184, 29, 86
47, 7, 6
188, 189, 166
5, 170, 6
32, 96, 102
73, 167, 120
115, 67, 74
126, 136, 104
88, 100, 69
66, 127, 99
70, 100, 202
119, 114, 115
27, 9, 8
9, 27, 159
161, 102, 25
26, 86, 38
53, 11, 12
75, 56, 28
14, 58, 57
54, 28, 39
18, 60, 59
79, 40, 58
81, 64, 80
76, 42, 80
77, 63, 7
76, 80, 75
185, 0, 85
30, 206, 190
191, 166, 189
132, 134, 48
47, 46, 7
158, 162, 38
4, 171, 170
111, 109, 87
150, 151, 153
67, 108, 6
100, 70, 68
68, 70, 20
139, 137, 138
14, 65, 15
73, 66, 91
201, 178, 165
172, 171, 3
13, 53, 12
54, 53, 57
28, 54, 40
39, 53, 54
39, 56, 55
77, 8, 9
28, 56, 39
43, 63, 77
58, 14, 15
57, 40, 54
16, 61, 15
61, 59, 41
60, 18, 19
61, 41, 79
19, 20, 60
20, 1, 78
15, 61, 58
17, 61, 16
81, 3, 4
42, 78, 94
77, 7, 8
63, 43, 64
80, 64, 43
4, 5, 64
139, 65, 45
194, 45, 65
169, 2, 1
144, 116, 131
122, 173, 105
110, 101, 114
69, 68, 19
70, 49, 36
82, 18, 17
70, 36, 1
198, 200, 197
202, 195, 196
89, 34, 88
90, 91, 103
110, 35, 118
119, 115, 74
142, 131, 106
71, 84, 41
67, 170, 74
36, 93, 169
75, 28, 76
43, 56, 75
84, 28, 79
71, 60, 78
55, 56, 77
77, 56, 43
94, 78, 1
71, 42, 76
84, 79, 41
28, 40, 79
80, 43, 75
81, 42, 62
3, 81, 62
4, 64, 81
98, 17, 73
84, 71, 76
60, 71, 41
90, 18, 82
28, 84, 76
0, 95, 85
86, 0, 184
162, 161, 160
100, 88, 195
47, 96, 32
89, 88, 69
69, 18, 90
34, 89, 83
90, 82, 91
89, 90, 103
82, 98, 91
15, 65, 168
200, 196, 197
177, 36, 49
152, 149, 151
2, 94, 1
42, 94, 62
101, 107, 108
0, 26, 95
102, 96, 87
17, 98, 82
91, 50, 97
73, 91, 98
73, 17, 167
127, 66, 120
69, 100, 68
88, 34, 195
74, 122, 125
107, 111, 96
87, 25, 102
162, 157, 38
91, 97, 103
83, 103, 97
168, 167, 15
130, 120, 126
50, 91, 66
73, 120, 66
122, 112, 123
114, 119, 48
108, 107, 47
110, 109, 111
6, 108, 47
108, 67, 115
110, 31, 109
96, 111, 87
33, 171, 172
35, 110, 114
110, 111, 101
118, 35, 146
31, 110, 118
115, 114, 101
74, 125, 48
170, 67, 6
108, 115, 101
171, 112, 170
114, 48, 35
122, 74, 112
