222, 79, 133
113, 63, 223
207, 225, 35
113, 2, 224
226, 225, 80
225, 226, 94
139, 226, 80
34, 227, 101
227, 83, 139
185, 228, 95
102, 228, 65
46, 103, 229
16, 229, 103
230, 91, 29
95, 33, 230
43, 70, 231
69, 43, 231
69, 4, 232
172, 233, 70
45, 74, 234
75, 45, 234
214, 235, 74
